 RVALUE:  0.2077      0.2077      0.2550      0.3076      0.3535      0.4031      0.4548      0.5079      0.5437      0.5966      0.6482      0.6969      0.7561      0.8058      0.8500      0.8996      0.9323      0.9525      0.9805      0.9969    
   0.000  0.2838E-02  0.2838E-02  0.1471E-01  0.2905E-01  0.4231E-01  0.5605E-01  0.6917E-01  0.8068E-01  0.8809E-01  0.9626E-01  0.1012      0.1021      0.9744E-01  0.8779E-01  0.7450E-01  0.5622E-01  0.4207E-01  0.3353E-01  0.2114E-01  0.1128E-01
  15.000  0.2885E-02  0.2885E-02  0.1477E-01  0.2913E-01  0.4237E-01  0.5605E-01  0.6915E-01  0.8054E-01  0.8788E-01  0.9599E-01  0.1009      0.1020      0.9737E-01  0.8777E-01  0.7440E-01  0.5608E-01  0.4198E-01  0.3345E-01  0.2118E-01  0.1136E-01
  30.000  0.2924E-02  0.2924E-02  0.1485E-01  0.2914E-01  0.4234E-01  0.5607E-01  0.6919E-01  0.8064E-01  0.8799E-01  0.9626E-01  0.1012      0.1023      0.9732E-01  0.8762E-01  0.7454E-01  0.5628E-01  0.4217E-01  0.3365E-01  0.2115E-01  0.1128E-01
  45.000  0.2896E-02  0.2896E-02  0.1489E-01  0.2927E-01  0.4240E-01  0.5609E-01  0.6919E-01  0.8067E-01  0.8802E-01  0.9624E-01  0.1013      0.1023      0.9736E-01  0.8767E-01  0.7455E-01  0.5628E-01  0.4220E-01  0.3366E-01  0.2116E-01  0.1130E-01
  60.000  0.2911E-02  0.2911E-02  0.1489E-01  0.2924E-01  0.4241E-01  0.5611E-01  0.6918E-01  0.8058E-01  0.8803E-01  0.9637E-01  0.1013      0.1023      0.9734E-01  0.8758E-01  0.7428E-01  0.5644E-01  0.4256E-01  0.3400E-01  0.2142E-01  0.1149E-01
  75.000  0.2943E-02  0.2943E-02  0.1487E-01  0.2924E-01  0.4245E-01  0.5617E-01  0.6920E-01  0.8070E-01  0.8815E-01  0.9648E-01  0.1014      0.1023      0.9746E-01  0.8769E-01  0.7439E-01  0.5646E-01  0.4250E-01  0.3392E-01  0.2131E-01  0.1144E-01
  90.000  0.2954E-02  0.2954E-02  0.1479E-01  0.2927E-01  0.4249E-01  0.5615E-01  0.6921E-01  0.8073E-01  0.8813E-01  0.9632E-01  0.1012      0.1022      0.9757E-01  0.8787E-01  0.7460E-01  0.5634E-01  0.4230E-01  0.3394E-01  0.2139E-01  0.1148E-01
 105.000  0.2956E-02  0.2956E-02  0.1477E-01  0.2929E-01  0.4255E-01  0.5624E-01  0.6934E-01  0.8083E-01  0.8821E-01  0.9633E-01  0.1013      0.1022      0.9765E-01  0.8785E-01  0.7447E-01  0.5606E-01  0.4198E-01  0.3359E-01  0.2126E-01  0.1139E-01
 120.000  0.2893E-02  0.2893E-02  0.1478E-01  0.2923E-01  0.4247E-01  0.5620E-01  0.6935E-01  0.8092E-01  0.8827E-01  0.9647E-01  0.1013      0.1022      0.9740E-01  0.8789E-01  0.7460E-01  0.5624E-01  0.4221E-01  0.3377E-01  0.2133E-01  0.1141E-01
 135.000  0.2908E-02  0.2908E-02  0.1488E-01  0.2926E-01  0.4237E-01  0.5609E-01  0.6922E-01  0.8070E-01  0.8800E-01  0.9624E-01  0.1013      0.1024      0.9732E-01  0.8768E-01  0.7447E-01  0.5613E-01  0.4204E-01  0.3358E-01  0.2123E-01  0.1142E-01
 150.000  0.2899E-02  0.2899E-02  0.1479E-01  0.2925E-01  0.4240E-01  0.5614E-01  0.6919E-01  0.8068E-01  0.8805E-01  0.9617E-01  0.1012      0.1023      0.9727E-01  0.8775E-01  0.7457E-01  0.5647E-01  0.4247E-01  0.3391E-01  0.2140E-01  0.1148E-01
 165.000  0.2845E-02  0.2845E-02  0.1473E-01  0.2919E-01  0.4239E-01  0.5610E-01  0.6920E-01  0.8074E-01  0.8814E-01  0.9632E-01  0.1012      0.1023      0.9753E-01  0.8798E-01  0.7478E-01  0.5663E-01  0.4266E-01  0.3423E-01  0.2161E-01  0.1158E-01
 180.000  0.2739E-02  0.2739E-02  0.1462E-01  0.2907E-01  0.4223E-01  0.5594E-01  0.6899E-01  0.8050E-01  0.8786E-01  0.9601E-01  0.1010      0.1023      0.9749E-01  0.8777E-01  0.7443E-01  0.5649E-01  0.4256E-01  0.3410E-01  0.2147E-01  0.1147E-01
 195.000  0.2698E-02  0.2698E-02  0.1460E-01  0.2903E-01  0.4224E-01  0.5601E-01  0.6902E-01  0.8049E-01  0.8787E-01  0.9606E-01  0.1010      0.1024      0.9739E-01  0.8764E-01  0.7422E-01  0.5622E-01  0.4253E-01  0.3403E-01  0.2142E-01  0.1147E-01
 210.000  0.2744E-02  0.2744E-02  0.1455E-01  0.2909E-01  0.4234E-01  0.5615E-01  0.6925E-01  0.8078E-01  0.8819E-01  0.9643E-01  0.1013      0.1023      0.9757E-01  0.8787E-01  0.7431E-01  0.5601E-01  0.4204E-01  0.3349E-01  0.2108E-01  0.1127E-01
 225.000  0.2865E-02  0.2865E-02  0.1472E-01  0.2913E-01  0.4235E-01  0.5617E-01  0.6928E-01  0.8080E-01  0.8816E-01  0.9637E-01  0.1013      0.1024      0.9761E-01  0.8770E-01  0.7428E-01  0.5617E-01  0.4218E-01  0.3362E-01  0.2113E-01  0.1132E-01
